w  ,noise,1dse     ,2dse    ,di      ,ndi
1  ,0    ,10.145285,8.750181,1.395103,0.137512
0.9,0.1  ,10.138602,8.637989,1.500613,0.14801
0.8,0.2  ,10.130416,8.553934,1.576482,0.155619
0.7,0.3  ,10.130416,8.553934,1.576482,0.155619
0.6,0.4  ,10.107537,8.230443,1.877093,0.185712
0.5,0.5  ,10.091518,8.153395,1.938123,0.192055
0.4,0.6  ,10.069243,7.834333,2.23491 ,0.221954
0.3,0.7  ,10.037125,7.382514,2.65461 ,0.264479
0.2,0.8  ,9.981799 ,6.859776,3.122024,0.312772
0.1,0.9  ,9.858636 ,5.433505,4.425131,0.448858
